CURRENTDUE,SORTNAME,PROJECTTYPE,BUDGETEDEMPLOYEE,ROLE,DATERECEIVED,STATUS,GROUPS,DETAILBUDGETHOURS,CLTNUM,INCHARGE,PRIMARYPARTNER,DESCRIPTION,PREPARERPOOL,ENGDESC,SKILLLEVEL
4/15/2024,Bashirian - Prohaska,Individual Income Tax,"Gutierrez, Joyce",Preparer,4/4/2024,"In, Unassigned",Backus,3,52808,"Duran, Angel","Duran, Angel",,Intern Pool,Tax,Associate
4/15/2024,Bashirian - Prohaska,Individual Income Tax,"Duran, Angel",Reviewer,4/4/2024,"In, Unassigned",Backus,1,52808,"Duran, Angel","Duran, Angel",,Intern Pool,Tax,Partner
4/15/2024,Murphy Inc,Individual Income Tax,"Moran, London",Preparer,4/4/2024,"In, Assigned",Eastman,10,53113,"Gardner, Asa","Gardner, Asa",,Intern Pool,Tax,Intern
4/15/2024,Murphy Inc,Individual Income Tax,"Dennis, Nicholas",Reviewer,4/4/2024,"In, Assigned",Eastman,8,53113,"Gardner, Asa","Gardner, Asa",,Intern Pool,Tax,No Selection
4/15/2024,Murphy Inc,Individual Income Tax,"Love, Harrison",Reviewer,4/4/2024,"In, Assigned",Eastman,2,53113,"Gardner, Asa","Gardner, Asa",,Intern Pool,Tax,Partner
4/15/2024,Murphy Inc,Individual Income Tax,"Gardner, Asa",Reviewer,4/4/2024,"In, Assigned",Eastman,4,53113,"Gardner, Asa","Gardner, Asa",,Intern Pool,Tax,Partner
9/15/2024,"Rolfson, Rutherford and Murphy",Partnership Income Tax,"Olsen, Murphy",Reviewer,4/3/2024,"In, Assigned",Percival,6,2217,"Duran, Angel","Duran, Angel",,Staff Pool,Tax,Supervisor
9/15/2024,"Rolfson, Rutherford and Murphy",Partnership Income Tax,"Duran, Angel",Reviewer,4/3/2024,"In, Assigned",Percival,5,2217,"Duran, Angel","Duran, Angel",,Staff Pool,Tax,Manager
9/15/2024,"Rolfson, Rutherford and Murphy",Partnership Income Tax,"Middleton, Cecilia",Reviewer,4/3/2024,"In, Assigned",Percival,3,2217,"Duran, Angel","Duran, Angel",,Staff Pool,Tax,Manager
9/15/2024,"Rolfson, Rutherford and Murphy",Partnership Income Tax,"Chen, Lyla",Preparer,4/3/2024,"In, Assigned",Percival,12,2217,"Duran, Angel","Duran, Angel",,Staff Pool,Tax,Associate
4/15/2024,Hartmann - Douglas,Individual Income Tax,"Dennis, Nicholas",Reviewer,4/3/2024,"In, Unassigned",Ivy,2,2243,"Love, Harrison","Love, Harrison",,Intern Pool,Tax,No Selection
4/15/2024,Hartmann - Douglas,Individual Income Tax,"Dennis, Nicholas",Reviewer,4/3/2024,"In, Unassigned",Ivy,2,2243,"Love, Harrison","Love, Harrison",Fallon Erickson,Intern Pool,Tax,No Selection
4/15/2024,Hartmann - Douglas,Individual Income Tax,Intern,Preparer,4/3/2024,"In, Unassigned",Ivy,8,2243,"Love, Harrison","Love, Harrison",,Intern Pool,Tax,Intern
4/15/2024,Hartmann - Douglas,Individual Income Tax,Intern,Preparer,4/3/2024,"In, Unassigned",Ivy,2,2243,"Love, Harrison","Love, Harrison",Fallon Erickson,Intern Pool,Tax,Intern
4/15/2024,Hartmann - Douglas,Individual Income Tax,"Love, Harrison",Reviewer,4/3/2024,"In, Unassigned",Ivy,2,2243,"Love, Harrison","Love, Harrison",,Intern Pool,Tax,Partner
4/15/2024,Hartmann - Douglas,Individual Income Tax,"Love, Harrison",Reviewer,4/3/2024,"In, Unassigned",Ivy,1,2243,"Love, Harrison","Love, Harrison",Fallon Erickson,Intern Pool,Tax,Partner
9/15/2024,Rippin Inc,Partnership Income Tax,No Selection,Reviewer,4/3/2024,"In, Assigned",Dion,12,51640,"Gardner, Asa","Gardner, Asa",,Staff Pool,Tax,Supervisor
9/15/2024,Rippin Inc,Partnership Income Tax,"Gardner, Asa",Reviewer,4/3/2024,"In, Assigned",Dion,6,51640,"Gardner, Asa","Gardner, Asa",,Staff Pool,Tax,Partner
9/15/2024,Rippin Inc,Partnership Income Tax,"Romero, Guadalupe",Preparer,4/3/2024,"In, Assigned",Dion,20,51640,"Gardner, Asa","Gardner, Asa",,Staff Pool,Tax,Associate
9/15/2024,Rippin Inc,Partnership Income Tax,"Hubbard, Braden",Reviewer,4/3/2024,"In, Assigned",Dion,1,51640,"Gardner, Asa","Gardner, Asa",,Staff Pool,Tax,Partner
4/15/2024,Nitzsche - Walsh,Individual Income Tax,Intern,Preparer,4/3/2024,"In, Unassigned",ZZINDIV,0.5,53193,"Hubbard, Braden","Hubbard, Braden",Alan Stinson,No Selection,Tax,Intern
